Waves 2,120.000,4.0,DirectX 11 compatible graphics card,0.244140625,Early Access Indie Casual Action Early Access Twin Stick Shooter Top-Down Shooter Arena Shooter Fast-Paced Score Attack Bullet Hell Arcade Top-Down Shoot 'Em Up Singleplayer Shooter,16 Dec, 2015,57,92
Save 60% on Grim Legends 2: Song of the Dark Swan,48.000,0.5,128 MB VRAM,1.0,Hidden Object Adventure Casual Point & Click Female Protagonist Puzzle Mystery Fantasy Family Friendly Singleplayer Atmospheric Story Rich Great Soundtrack Indie 2D Horror Cartoony,27 Sep, 2014,431,97
Märchen Forest: Mylne and the Forest Gift,120.000,4.0,GTX750Ti/GTX 760+,3.0,Indie Adventure RPG Cute Female Protagonist JRPG Anime,16 May, 2018,79,91
Little Big Adventure - Enhanced Edition,80.000,1.0,Intel HD Graphics,3.0,Adventure Action RPG Retro Cult Classic 1990's,14 Oct, 1994,106,84
Crazy Machines,120.000,0.125,DirectX 8 compatible graphics card with 32 MB RAM (TNT 2 or comparable),0,Casual Strategy Puzzle Physics,1 Oct, 2005,67,82
Brigador: Up-Armored Edition,188.000,4.0,AMD Radeon 5770 / NVIDIA GTX 460 or better,1.0,Action Indie Mechs Isometric Great Soundtrack Cyberpunk Sci-fi Destruction Tanks Singleplayer Retro Dystopian Top-Down Shooter Rogue-like Difficult Rogue-lite,2 Jun, 2016,1004,96
Quantum Conundrum,187.500,2.0,GeForce 8800 GT 512 MB / ATI Radeon HD 2900 512 MB,0,Puzzle First-Person Comedy Platformer Physics Casual Singleplayer Strategy Time Manipulation Science Cartoony Family Friendly Adventure Sci-fi Funny Controller,21 Jun, 2012,1085,83
Sniper Elite 3,250.000,2.0,Microsoft® DirectX® 10.0 compatible graphics card with 256 MB of memory (NVIDIA® GeForce® 8800 series / ATI Radeon™ HD 3870) or better,18.0,Sniper Action Stealth Multiplayer World War II Co-op Shooter Adventure Third-Person Shooter Tactical Third Person War Singleplayer Online Co-Op Open World Gore Strategy FPS Atmospheric Simulation,27 Jun, 2014,10718,78
ARCADE GAME SERIES: PAC-MAN,66.000,2.0,Intel HD Graphics 3000,1.46484375,Action Arcade Classic Retro,19 Apr, 2016,215,84
ARCADE GAME SERIES: DIG DUG,66.000,2.0,Intel HD Graphics 3000,1.46484375,Action Arcade Classic,19 Apr, 2016,133,85
ARCADE GAME SERIES: GALAGA,66.000,2.0,Intel HD Graphics 3000,1.46484375,Action Arcade Retro Shoot 'Em Up Classic 2D Singleplayer Pixel Graphics,19 Apr, 2016,240,86
Rodina,165.000,0.001953125,,0.29296875,Early Access Space Exploration Open World Indie Sci-fi Sandbox Action Early Access Singleplayer Adventure Space Sim Great Soundtrack First-Person Atmospheric Simulation Procedural Generation Story Rich Female Protagonist Fast-Paced,28 Jul, 2014,1057,93
Dead Effect 2,140.000,6.0,NVIDIA GeForce GTX 560 with 2 GB VRAM / NVIDIA GeForce GTX 760 - AMD Radeon HD 7770 with 2 GB VRAM,11.0,Action Zombies Co-op Indie FPS Horror RPG Survival Multiplayer Shooter Gore Sci-fi PvP Singleplayer First-Person Early Access Open World Great Soundtrack,6 May, 2016,1082,71
OF MICE AND SAND -REVISED-,120.000,2.0,Integrated Intel HD 3000 or equivalent,0.244140625,Strategy Simulation Pixel Graphics Singleplayer Base Building Retro Cute,28 Mar, 2018,78,80
12 is Better Than 6,120.000,2.0,512 Mb DirectX 9 compatible video card with shader model 3.0 support,0.29296875,Action Shooter Singleplayer Top-Down Shooter Indie Western Atmospheric Adventure 2D Violent Gore Hand-drawn Difficult Great Soundtrack Arcade Stylized Funny Dark Humor Blood Loot,20 Nov, 2015,1896,83
Call of Duty: Black Ops - Mac Edition,188.000,4.0,512MB or higher.  NVIDIA 640M, ATI HD 3870, Intel HD 5000,15.0,Action Zombies Multiplayer FPS Shooter Free to Play,27 Sep, 2012,,0
Call of Juarez®: Bound in Blood,165.000,1024.0,256 MB DirectX 10.0/9.0-compliant video card with Shader Model 3.0 or higher (see supported list*),0,Western Action FPS Singleplayer Multiplayer Shooter Open World First-Person Adventure Story Rich Atmospheric Historical Bullet Time Great Soundtrack,30 Jun, 2009,1160,81
Pathologic Classic HD,150.000,2.0,Radeon HD 4890 1024MB / GeForce 210 512MB,2.0,Atmospheric Story Rich Survival Horror Adventure First-Person RPG Psychological Horror Indie Singleplayer Great Soundtrack Cult Classic Dark Classic Action Choices Matter Open World Mature Difficult Lovecraftian,29 Oct, 2015,776,85
Save 90% on Mashed,9.000,0.25,NVIDIA GeForce™ or ATI Radeon™  7000 or higher,0.48828125,Racing Local Multiplayer Action 4 Player Local Arcade Local Co-Op,25 Jun, 2004,236,80
World of Guns: Gun Disassembly,0,1.0,,0.1953125,Free to Play Simulation Shooter Gun Customization Education Singleplayer Puzzle FPS Action Indie Multiplayer Military Historical First-Person Casual Realistic Sandbox America Funny Masterpiece,21 May, 2014,13196,82
If My Heart Had Wings,165.000,1.0,Shader Model 2.0 or higher with a maximum texture size of 4096 or higher, DirectX 9 GPU with 8-bit α-texture support, support with limitation or support for textures that are not exponentiations of 2 RADEON X series or higher (Excluding X1200 series) GeForce 6000 series or higher Intel 965 chip set or higher (GMA X3000 and up) VRAM 256MB,3.5,Anime Visual Novel Nudity Dating Sim Romance Cute Story Rich Mature Great Soundtrack Singleplayer Sexual Content Adventure Simulation Casual Atmospheric Funny Point & Click Action,28 Jun, 2013,2462,92
Turok,188.000,1.0,Intel 787 Express or equivalent supporting OpenGL 2.1 Core,0.78125,Action FPS Dinosaurs Classic Adventure Retro Shooter Singleplayer First-Person 1990's Atmospheric 3D Platformer Fantasy Gore Multiplayer Platformer Great Soundtrack Sci-fi,30 Nov, 1997,1468,95
Monaco: What's Yours Is Mine,165.000,2.0,OpenGL 2.1 and shader model 3 with 512 MB of memory.,0,Co-op Stealth Indie Heist Local Co-Op Strategy Online Co-Op Top-Down Action Multiplayer Crime Casual Great Soundtrack Adventure Controller Local Multiplayer Pixel Graphics 2D Singleplayer Loot,24 Apr, 2013,3417,92
3030 Deathwar Redux - A Space Odyssey,165.000,1.0,,0.48828125,Space Adventure Indie Sci-fi Open World 2D Sandbox Simulation Exploration Singleplayer Space Sim Story Rich Atmospheric Comedy Action Great Soundtrack Funny Pixel Graphics RPG Early Access,13 Sep, 2017,541,97
Thief™ II: The Metal Age,146.000,0,,0,Stealth Classic Steampunk Atmospheric First-Person Masterpiece Action Story Rich Singleplayer Fantasy Dark Fantasy Dark Adventure Cult Classic Medieval Sequel FPS Horror,21 Mar, 2000,761,94
Tropico Reloaded,90.000,0.25,128 MB DirectX® 9 graphics card,0,Simulation City Builder Strategy Management Classic Sandbox Singleplayer Comedy Pirates Great Soundtrack,24 Jul, 2009,369,88
古剑奇谭(GuJian),140.000,1.0,nVidia Geforce 6600/ATI X1000系列（须支持DX9.0C及SM3.0的显示芯片）,15.0,RPG Story Rich Turn-Based,10 Jul, 2010,942,74
NOBUNAGA’S AMBITION: Soutenroku with Power Up Kit / 信長の野望・蒼天録 with パワーアップキット,250.000,2.0,800x600 pixel over,1.0,Strategy,5 Dec, 2017,,0
Ace Combat Assault Horizon - Enhanced Edition,330.000,2.0,Nvidia GeForce 8800GT and higher ;  ATI radeon HD 3850 and higher,0,Action Flight Simulation Military Arcade Quick-Time Events Multiplayer Cinematic Shooter Controller Great Soundtrack Co-op On-Rails Shooter Singleplayer War Casual,24 Jan, 2013,,0
Silent Storm Gold Edition,120.000,0.5,3D graphics card compatible with DirectX 7,2.0,Strategy Turn-Based Tactics RPG Turn-Based Tactical World War II Turn-Based Strategy Alternate History Tactical RPG Classic Action Singleplayer Sci-fi Destruction Stealth Isometric,9 Sep, 2004,550,90
The Legend of Heroes: Trails in the Sky the 3rd,250.000,0.5,32 MB VRAM, 3D accelerator compatible w/ DirectX 9.0c,5.0,RPG JRPG Great Soundtrack Story Rich Anime Turn-Based Singleplayer Fantasy Turn-Based Combat,3 May, 2017,413,94
Easy Red,58.000,1.46484375,Nvidia gtx 750,0.537109375,Action World War II Indie Simulation Strategy Violent FPS Multiplayer Historical War,1 Dec, 2017,508,82
Home Behind,80.000,2.0,,1.0,Adventure RPG Survival Indie Casual Strategy Simulation Building Singleplayer Side Scroller Rogue-like 2D Third Person Difficult Turn-Based Tactics Atmospheric Replay Value Rogue-lite Mouse only Politics,2 Jun, 2016,3150,86
Doom 3: BFG Edition,450.000,3.0,NVIDIA GeForce 9800 GT / ATI Radeon HD 5750, 512 MB video RAM,0,FPS Horror Action Classic Shooter Sci-fi Singleplayer First-Person Multiplayer Demons Gore Zombies Space Dark Atmospheric Mars Survival Horror Survival Great Soundtrack 3D Vision,16 Oct, 2012,2983,82
Ken Follett's The Pillars of the Earth,250.000,4.0,AMD Radeon HD 6670, GeForce GTX 200 series with at least 1GB,13.18359375,Point & Click Choices Matter Medieval Adventure Visual Novel Indie Interactive Fiction Story Rich Singleplayer Casual Based On A Novel Violent Atmospheric Great Soundtrack,15 Aug, 2017,667,93
BlazeRush,120.000,1.0,256 MB NVidia / AMD Radeon / Intel (HD 3000, HD 4000) with support for Pixel Shader 3.0 (AMD Radeon X1000 not supported),1.0,Racing Indie Action Arcade Local Multiplayer 4 Player Local VR Top-Down Multiplayer,28 Oct, 2014,568,87
ARCADE GAME SERIES: Ms. PAC-MAN,66.000,2.0,Intel HD Graphics 3000,0,Action Arcade Classic Retro,19 Apr, 2016,63,80
Drakensang: The River of Time,188.000,2.0,256 MB DirectX 9.0 compatible,0,RPG Fantasy Singleplayer Adventure Real-Time with Pause Party-Based RPG Atmospheric Turn-Based,11 Jan, 2011,131,76
Lost Technology,70.000,0.5,DirectX 9.0c,0,Anime Simulation Indie Strategy Wargame RTS Tactical Singleplayer Fantasy Real-Time with Pause Real Time Tactics Grand Strategy Magic Adventure War Great Soundtrack,9 Aug, 2017,253,90
Worms,100.000,0,,0,Strategy Multiplayer Classic Turn-Based Strategy Action 2D Singleplayer Turn-Based Retro Arcade,30 Oct, 1995,215,85
LiEat,43.000,1.0,Integrated graphics,0.02734375,Anime RPG Cute Indie Pixel Graphics Story Rich JRPG Great Soundtrack Singleplayer 2D RPGMaker Female Protagonist Adventure Casual Fantasy Turn-Based Drama Atmospheric Psychological Horror Surreal,26 Feb, 2016,2221,97
Angels Fall First,180.000,4.0,Nvidia 400 series or later,10.0,Early Access Action Sci-fi FPS Space Multiplayer Early Access Simulation First-Person Indie Tactical Singleplayer Co-op Futuristic,1 Oct, 2015,1705,82
Putt-Putt® and Pep's Balloon-o-Rama,70.000,0.5,100% DirectX compatible graphics,0.5,Casual Adventure Family Friendly Point & Click Masterpiece,1 Jan, 1996,26,92
Pajama Sam's Sock Works,70.000,0.5,100% DirectX compatible graphics,0.5,Casual Family Friendly Puzzle Adventure Psychological Horror,1 Jan, 1999,16,100
Putt-Putt® Joins the Circus,90.000,0.5,100% DirectX compatible graphics,0.5,Casual Adventure Point & Click Family Friendly,31 Dec, 2000,21,80
Putt-Putt® and Pep's Dog on a Stick,70.000,0.5,100% DirectX compatible graphics,0.5,Casual Adventure Family Friendly Point & Click FPS,31 Oct, 1996,15,100
I wanna be The Cat,90.000,2.0,Intel 4400, GeForce GTX 280, AMD Radeon HD 7750,0.1953125,Action Indie Adventure Platformer Difficult,15 Dec, 2017,113,93
Putt-Putt® Joins the Circus,90.000,0.5,100% DirectX compatible graphics,0.5,Casual Adventure Point & Click Family Friendly,31 Dec, 2000,21,80
Putt-Putt® and Pep's Dog on a Stick,70.000,0.5,100% DirectX compatible graphics,0.5,Casual Adventure Family Friendly Point & Click FPS,31 Oct, 1996,15,100
I wanna be The Cat,90.000,2.0,Intel 4400, GeForce GTX 280, AMD Radeon HD 7750,0.1953125,Action Indie Adventure Platformer Difficult,15 Dec, 2017,113,93
Pool Panic,165.000,4.0,Intel(R) HD Graphics 4600,3.0,Action Sports Adventure Funny,19 Jul, 2018,42,85
Draw a Stickman: EPIC 2,70.000,2.0,DX9 (shader model 2.0) capabilities; generally everything made since 2004 should work.,0.390625,Adventure Casual Indie Puzzle,6 Nov, 2015,233,80
Nidhogg,120.000,0.5,DirectX 8-compatible graphics card with at least 32MB of video memory,0.1953125,Local Multiplayer Indie Action Fighting Swordplay Multiplayer 2D Fighter Pixel Graphics PvP 2D Sports Fast-Paced Competitive Controller Funny Local Co-Op GameMaker Platformer Great Soundtrack Co-op,13 Jan, 2014,4439,87
Bulb Boy,110.000,2.0,Intel HD 4000,0,Adventure Indie Horror Point & Click Dark Dark Humor Singleplayer Gore Atmospheric Puzzle Cute Surreal,29 Oct, 2015,276,88
Gemini Rue,120.000,0.0625,,0,Point & Click Adventure Sci-fi Noir Cyberpunk Indie Story Rich Pixel Graphics Dystopian Detective Atmospheric Singleplayer Retro 2D Great Soundtrack Futuristic,26 Oct, 2011,771,89
Barony,165.000,4.0,Intel Integrated Graphics,0.146484375,RPG Indie Rogue-like Dungeon Crawler Action Adventure Pixel Graphics Co-op First-Person Multiplayer Rogue-lite Fantasy Voxel Difficult FPS,23 Jun, 2015,969,89
Sea Dogs: To Each His Own - Pirate Open World RPG,165.000,1.0,128 mb video card,0,Pirates RPG Open World Naval Adventure Atmospheric Choices Matter Sailing Historical Swordplay Cult Classic Exploration Choose Your Own Adventure Story Rich Difficult Crafting 6DOF Economy Fighting Gore,Dec 2012,907,75
Elise the Devil,30.000,1.0,DirectX 9 compatible graphics card,2.0,Sexual Content RPG Nudity Adventure RPGMaker Mature Anime Indie Female Protagonist,1 Nov, 2017,998,92
PAYDAY™ The Heist,165.000,1.0,,0,FPS Action Co-op Heist Crime Multiplayer Online Co-Op Shooter First-Person Great Soundtrack Team-Based Difficult Stealth Tactical Strategy Singleplayer Simulation RPG Indie Adventure,20 Oct, 2011,18231,92
Octodad: Dadliest Catch,165.000,2.0,Intel Core HD Graphics 3000/4000, NVIDIA 8800 GT, ATI Radeon HD 4850 or better,3.0,Comedy Physics Indie Funny Family Friendly Adventure Local Co-Op Walking Simulator Action Singleplayer Co-op Short Simulation Puzzle Difficult Third Person Addictive Great Soundtrack Intentionally Awkward Controls Local Multiplayer,30 Jan, 2014,5488,92
Spooky's Jump Scare Mansion: HD Renovation,120.000,2.0,Intel HD Graphics w/ 1GB VRAM or higher,0.29296875,Indie Horror Adventure Action First-Person Cute VR Great Soundtrack Atmospheric Survival Horror Singleplayer Anime Psychological Horror,1 Mar, 2017,321,91
DERU - The Art of Cooperation,165.000,4.0,nVidia® 8800 GT / AMD® 4670 or faster,0.732421875,Indie Minimalist Co-op Local Co-Op Family Friendly 2D Puzzle Colorful Arcade Atmospheric Abstract Singleplayer Great Soundtrack Local Multiplayer Controller Co-op Campaign Difficult Casual Stylized Top-Down,7 Nov, 2018,,0
Lethis - Path of Progress,188.000,2.0,GPU compatible with openGL 3.1,2.0,City Builder Strategy Simulation Steampunk Building Indie Resource Management Sandbox Great Soundtrack Isometric Singleplayer Puzzle Management Pixel Graphics 2D,25 Jun, 2015,733,70
Plastic soldiers,15.000,4.0,Intel HD 4000, GeForce 8800, ATI 1950 or better,5.0,Early Access Early Access Action Indie Massively Multiplayer,16 Nov, 2018,76,75
Rusty Lake Paradise,58.000,0,Direct X 9.0c compatible video card,0.09765625,Indie Adventure Point & Click Puzzle Horror Psychological Horror Singleplayer Atmospheric 2D,11 Jan, 2018,918,94
Harvester,80.000,0.5,100% DirectX compatible graphics,2.0,Horror Adventure FMV Point & Click Gore Classic Masterpiece Dark Humor Cult Classic 1990's Violent Satire Singleplayer Retro Story Rich,25 Sep, 1996,436,92
Oh...Sir!! The Insult Simulator,30.000,1.0,DirectX 9 compatible graphics card,0.09765625,Indie Simulation Comedy Funny Multiplayer Local Multiplayer 2D Singleplayer Pixel Graphics Strategy Casual,25 Oct, 2016,2330,91
The Slaughter: Act One,90.000,2.0,NVIDIA GT/s 4xx or equivalent,0.341796875,Adventure Indie Noir Mystery Crime Point & Click Dark Humor Horror Story Rich Pixel Graphics,28 Jan, 2016,58,86
Soundboxing,100.000,8.0,NVIDIA GeForce GTX 970,1.0,Indie VR Rhythm Music,29 Sep, 2016,489,89
Owlboy,220.000,1.0,Pixelshader 3.0 enabled graphics card(DirectX 10 capable graphics card),0.5859375,Pixel Graphics Indie Adventure Great Soundtrack 2D Platformer Metroidvania Story Rich Atmospheric Fantasy Action Puzzle-Platformer Singleplayer Retro Action-Adventure Flight Funny Open World Cute RPG,1 Nov, 2016,2289,90
Dungeon Souls,150.000,2.0,256 MB,0.1953125,RPG Pixel Graphics Dungeon Crawler Rogue-like Indie Action Rogue-lite Hack and Slash Adventure 2D Early Access Singleplayer Bullet Hell Procedural Generation Perma Death Top-Down Multiplayer GameMaker Loot Local Co-Op,2 Dec, 2016,1077,80
Prosperity,120.000,2.0,,0.78125,Early Access Casual Indie Strategy Simulation Early Access,28 May, 2018,14,92
Revoke,188.000,8.0,NVIDIA GTX 970 / AMD equivalent or greater,10.0,Early Access Violent Action Adventure Indie Early Access VR,25 Jul, 2018,17,76
The Cursed Forest,60.000,8.0,GTX 660 2 Gb / Radeon 7850 2 Gb,5.0,Early Access Adventure Horror Indie Early Access Atmospheric Exploration,11 Sep, 2015,208,88
Hustle Cat,188.000,2.0,Intel 3000HD or greater,0,Indie Visual Novel Casual Dating Sim Anime Otome Cute Romance Horror,16 Mar, 2016,504,96
Tales from Candlekeep: Tomb of Annihilation,175.000,4.0,NVIDIA GeForce GTX 560, 1024 MB,5.0,Adventure RPG Dungeons & Dragons Strategy Board Game Turn-Based Turn-Based Strategy Singleplayer Indie Dungeon Crawler Fantasy,11 Oct, 2017,1215,77
Mitos.is: The Game,0,0.5,,0,Free to Play Multiplayer Massively Multiplayer Strategy 2D Survival Funny Simulation Casual Action Online Co-Op Indie PvP Family Friendly Co-op Singleplayer Adventure Difficult Comedy Illuminati,29 Jul, 2015,11573,81
Anubis' Challenge,165.000,4.0,NVidia GeForce GTX 980,5.0,Action Indie VR Action-Adventure,16 Nov, 2018,10,100
Tom Clancy's Splinter Cell®,83.000,0.25,,0,Stealth Action Third Person Singleplayer Classic Adventure Third-Person Shooter Shooter Atmospheric Multiplayer Difficult Masterpiece,18 Feb, 2003,913,85
Cinderella Escape! R12,70.000,2.0,DirectX@ 9 Compatible Graphics Card (Shader Model 3.0 or better),0.5859375,Nudity Mature Anime Female Protagonist Sexual Content Puzzle Singleplayer Indie Action Psychological Horror Horror Illuminati,16 Nov, 2015,272,80
Lords of the Realm,30.000,0.5,NVidia/ATI 3D graphics card compatible with DirectX 7 with Hardware T&L support (compatible with DirectX 9 recommended),0.1953125,Strategy,30 Nov, 1994,31,83
RAGE,225.000,0.0,,0,FPS Post-apocalyptic Action Open World Shooter Racing Singleplayer First-Person Co-op Multiplayer Sci-fi Adventure Atmospheric RPG Gore Horror Crafting Survival Online Co-Op Linear,3 Oct, 2011,7749,74
Fire Pro Wrestling World,250.000,4.0,DirectX 9.0c compatible video card with minimum 512MB of VRAM,4.0,Simulation Sports Wrestling Character Customization 2D Fighting Multiplayer Retro Early Access,18 Dec, 2017,1143,88
Escape from Pleasure Planet,165.000,2.0,Hardware Accelerated Graphics with 1GB memory,1.0,Nudity Adventure Point & Click,15 Dec, 2016,15,86
DESOLATE,188.000,8.0,NVIDIA GeForce GTX 670 or analogue with 2GB VRAM,10.0,Early Access Survival Multiplayer Horror Open World Co-op Adventure Zombies Violent Action Online Co-Op First-Person Nudity FPS Shooter Gore Massively Multiplayer Walking Simulator Third-Person Shooter PvP,8 Feb, 2018,,0
Hail to the King: Deathbat,80.000,2.0,Intel HD Graphics,2.0,Adventure Action RPG Indie Casual Great Soundtrack,30 Oct, 2014,167,80
SimpleRockets,100.000,1.0,SM2 128MB VRAM,0.09765625,Simulation Physics Sandbox Indie Space Sim Space 2D,3 Jun, 2015,202,85
Containment Initiative,120.000,4.0,GeForce GTX 970 or AMD Radeon R9 290 or better,6.0,Action Zombies Local Co-Op Gore FPS VR,14 Apr, 2017,75,80
Jagged Alliance 2 - Wildfire,90.000,0.5,3D Graphics card with DirectX support and 64 MB RAM,0,Strategy RPG Turn-Based Tactics Turn-Based Turn-Based Strategy Isometric Tactical Singleplayer Classic Tactical RPG,8 Mar, 2004,486,70
Ittle Dew,120.000,1.0,DirectX 9,0,Adventure Indie Puzzle Female Protagonist Cute Comedy 2D Exploration Singleplayer Funny Great Soundtrack Top-Down Action Cartoony Short Sokoban RPG Anime,23 Jul, 2013,312,92
Train Valley 2,120.000,2.0,ATi Radeon HD 2400 or NVIDIA GeForce 7600,1.0,Early Access Casual Simulation Indie Strategy Early Access Trains Building Puzzle Singleplayer Management,29 Mar, 2018,391,90
Das Geisterschiff,120.000,2.0,DX9 compatible GPU w/ Shader Model 2.0 support,0.48828125,Indie RPG Adventure Dungeon Crawler Turn-Based Combat Cyberpunk First-Person Singleplayer Turn-Based Atmospheric Mechs Futuristic Post-apocalyptic Dark Robots Difficult,24 Nov, 2018,,0
Pizza Connection 2,80.000,0.5,3D graphics card compatible with DirectX 7 (compatible with DirectX 9 recommended),1.0,Simulation Strategy Management,9 Oct, 2001,60,70
Hover,188.000,4.0,NVIDIA® GeForce® GTX 650 / AMD Radeon™ HD 6870,2.0,Parkour Open World Indie Action Multiplayer Adventure Cyberpunk Great Soundtrack Fast-Paced Racing 3D Platformer Third Person Colorful Platformer First-Person Sci-fi Co-op Early Access Singleplayer,31 May, 2017,946,84
Monster Slayers,110.000,0.25,OpenGL 2.1 compatible 3D graphics card with 256 MB VRAM,0.0390625,Indie Card Game Action Rogue-like Turn-Based RPG Rogue-lite,23 Mar, 2017,402,83
VR Party Club,165.000,4.0,Nvidia GTX 970 or equivalent,1.205078125,Early Access Early Access Strategy Indie Casual Simulation Action VR,14 Oct, 2018,,0
Aurora Dusk: Steam Age,120.000,1.0,,0.140625,Early Access Strategy Indie RPG Early Access Sandbox Moddable Adventure Singleplayer 2D Fantasy Casual Zombies Tower Defense Medieval Touch-Friendly Top-Down Crowdfunded,29 Apr, 2016,103,86
Monster Slayers,110.000,0.25,OpenGL 2.1 compatible 3D graphics card with 256 MB VRAM,0.0390625,Indie Card Game Action Rogue-like Turn-Based RPG Rogue-lite,23 Mar, 2017,402,83
VR Party Club,165.000,4.0,Nvidia GTX 970 or equivalent,1.205078125,Early Access Early Access Strategy Indie Casual Simulation Action VR,14 Oct, 2018,,0
Aurora Dusk: Steam Age,120.000,1.0,,0.140625,Early Access Strategy Indie RPG Early Access Sandbox Moddable Adventure Singleplayer 2D Fantasy Casual Zombies Tower Defense Medieval Touch-Friendly Top-Down Crowdfunded,29 Apr, 2016,103,86
Minecraft: Story Mode - Season Two,165.000,3.0,Nvidia GTS 450+ with 1024MB+ VRAM (excluding GT) and Intel HD Graphics 4000+,10.0,Adventure Story Rich Choose Your Own Adventure Choices Matter Singleplayer Psychological Horror Episodic Memes Family Friendly Action Action-Adventure Funny Pixel Graphics Zombies Female Protagonist Illuminati Anime Cold War Gore Horror,11 Jul, 2017,1109,90
The Watson-Scott Test,70.000,1.0,Intel® HD Graphics,0.1953125,Indie Violent Horror Psychological Horror Atmospheric Text-Based Interactive Fiction,19 Oct, 2018,,0
Regular Human Basketball,70.000,3.0,NVIDIA since 2006 (GeForce 8), AMD since 2006 (Radeon HD 2000), Intel since 2012 (HD 4000 / IvyBridge),2.0,Sports Indie Local Multiplayer Comedy Basketball Competitive Local Co-Op Funny Transhumanism Online Co-Op Great Soundtrack Multiplayer,1 Aug, 2018,65,95
Hidden in Plain Sight,80.000,0.5,Graphics Card that supports Pixel Shader 2.0 and Vertex Shader 2.0,0.1953125,Casual Local Multiplayer Action 4 Player Local Stealth Indie Local Co-Op,16 Jul, 2014,272,98
Replica,43.000,2.0,Supports 1280 * 720 resolution,0.234375,Indie Adventure Pixel Graphics Puzzle Hacking Dystopian Story Rich Mystery Political Singleplayer Psychological Horror Horror,11 Jul, 2016,2264,87
Royal Quest,0,2.0,512Mb NVIDIA GeForce 9500GT / ATI Radeon HD 3450,5.0,Free to Play Massively Multiplayer RPG Adventure MMORPG Open World Fantasy Multiplayer Action Hack and Slash Third Person Singleplayer,6 Aug, 2014,,0
Alone in the Dark 1,165.000,0.5,3D Graphics card compatible with DirectX7,2.0,Adventure Action Classic Horror Lovecraftian 1990's Survival Horror,10 Dec, 1993,31,96
Crimsonland,160.000,0.5,,0.1953125,Action Shooter Top-Down Indie Local Co-Op RPG Top-Down Shooter Classic Gore Co-op Survival Shoot 'Em Up Twin Stick Shooter Arcade Sci-fi Zombies 2D Local Multiplayer Post-apocalyptic Aliens,11 Jun, 2014,1099,91
Serious Sam HD: The Second Encounter,188.000,2.0,nVidia GeForce 7600, ATI Radeon X1600 (Shader Model 3.0 Required),0,FPS Action Co-op Comedy Multiplayer Indie Shooter Online Co-Op Singleplayer Classic Great Soundtrack First-Person Gore Cult Classic Sci-fi Aliens Colorful Funny Remake Arena Shooter,28 Apr, 2010,57,96
MechaNika,58.000,0.5,Intel HD 3000,0.5,Adventure Indie Point & Click Female Protagonist Dark Humor Hand-drawn 2D Puzzle Nudity Mechs,16 Jul, 2015,325,92
Welcome to the Game,70.000,2.0,1024MB,3.0,Horror Simulation Hacking Indie Psychological Horror Puzzle Gore Nudity Sexual Content Violent Difficult Singleplayer Illuminati Dark First-Person Atmospheric Strategy,15 Jun, 2016,1459,83
VR: Vacate the Room,58.000,4.0,NVIDIA GeForce® GTX 970, AMD Radeon™ R9 290 equivalent or better, Video Output: HDMI 1.4, DisplayPort 1.2 or newer,0.244140625,Adventure Indie VR Puzzle Singleplayer Short Horror Philisophical,15 Jul, 2016,196,87
